;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
1057.6s : 386.290m/z;159130;140458;106790;118645;136834;179145;91131;142499;144806;103265;77591;80600;71638;125257;100540;75072;81168;109823;97390;153968;102545;174382;108559;72829;141432;155233;140769;133870;104105;111449;99700;123627;107517;105383;152880;138507;141339;112181;95234;81602;86038;103593;56956;109208;112544;99766;0;0;108153;78387;116273;91133;71376;90209;114743;84458;127694;55271;124141;158255;88327;83974;125943;142096;115800;114166;166298;121473;82702;119101;79627;116985;73657;81781;147395;111057;149707;74993;81407;152687;87937;107715;102881;99027;97593;117003;107032;123777;142866;57983;63872;77730;103331;85381;56818;137400
906.1s : 321.173m/z;62862;99931;86642;84502;113393;120207;72536;108900;107992;86182;72770;72805;63870;94042;79194;73582;65780;84655;76051;102654;84115;118946;94562;74105;109466;116702;119517;108527;90626;108511;83414;90599;103612;94465;133023;93482;93819;98798;94016;79109;70601;77372;0;84155;85388;79067;0;0;94070;76383;85224;79231;0;80631;98382;0;89265;0;93889;115582;84301;79340;106497;113001;106846;97384;126952;104183;79875;95264;76914;94734;61960;77585;113928;87152;122784;67636;64609;129059;76338;90239;89539;84663;80220;85241;80400;104351;116788;48297;59211;68503;80591;75014;0;97782
267.7s : 453.343m/z;4779387;739961;790950;1150580;2770776;900787;2143955;960587;890528;1092446;288174;1702984;2007048;1498563;1047436;1818408;2689798;1204120;262955;199281;948498;903028;3669638;1193918;548502;641539;300339;1068691;205191;0;1384464;1288759;2204486;810262;134133;885248;3402601;909894;0;1481309;1749265;316882;1164468;160755;927535;937357;0;0;1662753;779017;1453711;1281890;1432581;1377486;239644;1217273;1106046;2630467;254655;1501980;1431172;2612703;943570;1150611;1600783;977623;1060197;3551305;1017562;1473471;1067324;1054743;2301059;668167;2121399;461231;1070052;587290;275744;1138356;816765;887693;1926125;945022;445655;878529;733595;991932;1146157;3034766;1174099;1382574;1307589;1029297;1237372;707307
1043.2s : 345.263m/z;93334;119785;76531;93385;98892;171094;61154;119895;120465;72529;54163;57601;48519;91490;72296;51084;52301;82292;70823;126871;65139;153252;81724;0;114291;125444;107289;108558;70654;87933;69638;85865;87759;73698;133735;102715;112987;79982;64378;56034;57623;70753;0;77385;77975;69854;0;0;81690;0;86006;61584;53021;64678;88836;56955;95135;0;97438;137970;67336;60466;99930;121179;97656;100053;164627;94112;57062;100272;0;76399;0;0;130296;80852;137575;0;57443;139670;57231;69964;75217;74225;64551;88064;72255;95141;121044;0;0;56469;77301;54243;0;106468
689.4s : 197.081m/z;83238;99380;77142;105345;122780;90374;83025;91516;88310;88122;62884;72332;0;79720;80324;75055;73478;84439;77404;84828;67137;86441;84682;85568;102655;94695;95608;98703;82680;95768;68262;89528;77399;89084;91599;83269;74511;87324;79370;69002;62117;76497;0;72329;76667;78998;0;0;82885;68502;85381;79747;70515;76392;73071;69847;77286;0;80630;85143;83737;74680;80071;80216;74645;80113;84861;61881;70360;75523;70016;84279;62030;68827;82924;83401;81461;63215;69599;85242;76584;77324;78810;71800;73130;90667;87421;86503;94576;0;58047;0;77932;77029;0;83446
919.9s : 614.482m/z;0;180979;228159;208057;83572;73367;168536;102059;163262;105130;62508;0;88794;75138;152237;51740;309129;188502;146012;194970;269048;131088;239965;41507;105404;242432;87529;169111;81223;211191;0;122537;140430;285072;146837;182932;153349;197225;190970;124005;61391;119301;368452;47769;121037;220506;0;0;45488;235957;181912;242804;246201;151866;45111;120792;256762;200096;159326;212125;198023;307836;212621;186195;80468;56788;124839;66544;154544;123300;240217;83902;58062;202284;206000;221817;188503;294669;47518;119349;206733;176979;227818;73536;255325;92549;124546;188858;112489;99045;153620;0;244475;106674;0;231976
922.3s : 526.430m/z;0;129099;181866;174133;63684;53209;119499;70256;146964;82324;45870;0;61031;53044;117693;48045;339506;167412;174820;194644;309019;107326;241312;49506;93531;216101;67688;131621;66679;204715;0;98334;141947;320108;114576;190944;144302;172172;140360;153227;53339;117427;430331;0;116604;184605;0;0;0;216148;173721;187433;233737;109941;0;118744;268841;167998;203618;199357;159681;288918;225997;183344;62220;46165;99807;47323;111797;86169;254549;79661;0;186226;173426;225485;160761;246113;78802;105594;190451;166589;207667;56107;233665;62167;100713;167140;76947;75693;122360;0;236593;100386;56676;203887
918.6s : 658.508m/z;0;167215;209702;195713;81711;69904;159785;105364;145253;95494;63564;0;81596;72165;146619;46424;265492;168488;115491;179438;227175;113546;216604;0;95761;215360;86936;167863;76295;195255;33833;121031;120971;244340;135032;157977;137505;177142;188310;98865;61447;101272;334042;45227;110189;204599;0;0;47094;201648;156381;229283;222159;148244;45366;109125;233783;179428;129130;183458;191079;272769;174864;157923;79653;58326;116118;66239;146291;121442;216243;82031;61734;182430;182588;189071;170689;266207;0;106211;192238;150634;197131;71396;229381;87716;115035;175623;109953;101198;140660;0;198368;93273;81851;214225
917.2s : 702.534m/z;0;147461;183878;166581;71605;65970;139036;97448;112829;81025;53036;0;79413;65966;128720;39587;226840;144480;86629;142495;188815;98823;177385;0;84254;179014;83124;152210;63975;171949;0;101907;98474;196532;119152;125247;107845;144179;170486;69019;50680;85244;290943;42055;87400;180281;0;0;42855;166196;128124;207027;178790;140954;43634;84471;195567;150647;90311;148715;172609;228630;139188;125021;72374;52481;97097;63198;133865;108880;176511;68244;56578;152917;153707;147977;143449;235984;0;84503;165435;122787;163284;66635;193751;75454;101722;151510;98680;90374;119150;0;165439;70886;0;180294
886.9s : 570.456m/z;0;88455;103091;85995;125488;61392;87860;50741;65739;70272;35191;76304;37030;62417;130744;0;182740;108030;98569;100906;156677;82557;126358;0;37575;137551;126404;139629;42677;117384;0;56138;92882;163027;62838;69563;61425;118655;122546;69661;50384;63650;203280;74784;59258;107510;0;0;35638;122353;95821;125647;134642;94989;0;66325;131022;100835;83011;101791;118803;165141;91911;105204;38607;0;64385;47455;76697;48537;112422;0;39634;101728;116178;111946;117827;164565;108885;55941;97707;106783;127013;34504;147893;53063;62946;138601;60611;53059;144194;0;166422;56183;48347;113691
1060.6s : 421.261m/z;67544;100339;47853;79319;74916;97870;51184;72830;76570;66770;0;36784;0;71036;54453;35965;43716;66253;60965;106175;47043;110071;49029;48877;105834;110649;75182;85942;53611;65116;44603;73512;53453;58199;94199;92072;80661;62565;45089;36526;39581;64035;0;47373;67858;63360;0;0;63273;37312;67408;38368;34860;46113;59027;0;67330;0;67510;91276;39313;39266;60262;84347;55857;71683;88571;53752;44617;71938;41943;83579;36843;40055;84875;68375;77767;0;40541;99807;45289;59257;58502;49957;52986;95825;65253;69988;96796;0;0;47974;78352;40402;0;83928
857.9s : 540.424m/z;324647;118459;74507;136758;339839;174894;116556;196562;102520;100926;204049;211570;181868;210028;193389;208174;151257;110670;86215;0;105514;0;144609;91705;0;114111;235588;213513;308436;258169;231004;107706;119007;108035;239833;84158;194082;142098;240849;263575;289454;0;88324;170475;99566;116695;90795;0;266051;101642;0;207097;177438;208805;191165;188151;111920;130640;91118;0;288953;94546;125831;0;202531;160303;198658;180840;169450;188742;0;104960;195262;126535;116382;0;224892;157689;146669;205076;0;123499;136639;196557;101976;98693;85631;194234;237682;165050;0;159714;115443;73303;184934;120839
915.8s : 746.560m/z;0;127536;150295;137996;61378;56705;122632;87747;84311;61292;48526;0;59840;55309;109058;0;180443;119623;59479;109434;146319;71271;136242;0;66563;143528;69965;122400;56831;138680;0;83026;76049;153615;99243;90436;83252;114567;141161;46612;42953;68989;230902;35013;66551;147475;0;0;39925;132410;98620;169799;136548;119774;37448;64696;150651;114592;52651;112808;144256;182114;104393;89790;58865;42358;80097;54348;108705;92279;127357;53462;49136;121188;120769;109332;116155;194168;0;60538;133602;97055;120595;58281;151685;61850;78552;130139;81643;76178;94385;0;126562;56985;66825;143947
886.1s : 614.483m/z;0;85286;101721;85712;126525;64008;88007;51877;55686;63058;29718;0;36695;61323;129954;0;166044;98581;80775;90294;135979;80724;111430;0;33770;125249;126698;150704;37664;105849;0;58874;82788;142403;60260;62340;59144;112665;130258;58098;46096;57668;181612;74724;54120;106291;0;0;40471;116380;86798;124693;128533;103181;0;61560;113725;97372;69010;94264;117593;152367;80332;98937;37140;0;65951;47454;74627;48777;99394;0;37388;88404;110787;102857;121237;159576;0;51112;88096;95554;117115;33240;133985;49915;59004;136504;58972;47944;139937;0;159072;50033;48002;106696
1057.2s : 501.247m/z;49952;43046;43363;43192;32785;37443;36622;34986;45152;44729;0;0;0;37293;33975;35169;37828;39050;43270;47122;41354;48423;40452;40050;49666;46695;31698;36748;0;38702;0;45256;40821;41860;39307;48229;0;40645;34990;0;0;45292;0;0;46672;38014;0;0;35728;38540;48084;33752;33573;31616;30677;0;41096;33780;42951;45448;0;37017;46885;44486;0;36193;38074;0;38278;34603;41826;41802;0;40105;39991;43397;38862;34913;0;35934;40815;40998;40086;0;39545;44433;47391;35355;37136;0;36938;0;42917;40994;0;44238
969.3s : 247.154m/z;0;139948;88045;114214;109792;183794;79094;130194;133339;84933;0;0;56271;108209;88250;0;58178;98826;81830;141901;74899;166254;97069;0;124648;150770;132411;131594;85738;108797;87294;100130;92838;99284;155013;118791;123313;101706;87157;0;0;84036;0;99861;97413;81452;0;0;104697;75954;97710;72048;0;68986;111020;75082;112440;0;102280;147080;0;70437;111038;133066;108549;115377;175697;109209;68108;115298;0;99893;0;0;154707;91480;155691;0;69547;152230;63659;93893;92422;87451;80353;103361;91033;119037;145419;0;0;71601;89091;0;0;115783
914.4s : 790.586m/z;0;97061;112665;100103;48807;43767;91084;65995;60265;44149;0;0;48397;41386;82393;0;131411;90058;41014;75965;104909;52699;98964;0;49063;106436;55181;94711;43017;106956;0;65745;53931;101036;82623;58025;58056;86991;110680;0;0;48930;176954;0;47512;106173;0;0;0;99689;72256;136360;94003;96068;0;45859;113217;84468;0;80748;111616;131346;69811;57186;47078;34854;61085;42641;86754;74948;93891;0;39075;90653;92593;73323;86974;147951;0;41543;97949;67850;88154;46081;111815;45511;55759;100052;63776;63564;69678;0;94307;39285;0;107434
884.9s : 658.509m/z;0;77202;92207;76524;113812;57535;78441;47983;45042;53420;0;0;32995;56316;111817;0;130358;80812;61111;77648;110879;70335;93689;0;0;108929;115698;139710;32488;87967;0;50384;66354;111662;50325;52426;52154;92299;116827;43277;40152;48652;154818;71921;47980;92883;0;0;38690;92875;72624;111551;105999;97833;0;52126;89810;80812;54273;79706;102733;129149;60230;80977;33315;0;54278;41075;66143;43151;87201;0;30676;73213;91284;82209;108910;143050;0;41489;75745;79232;97723;0;111788;44576;49589;123109;53779;41759;123511;0;135116;41285;43488;91002
887.6s : 526.430m/z;0;72419;94750;80472;118919;52518;74784;42262;67045;73155;0;73987;0;50498;113718;0;181189;102423;103935;96443;159627;73045;124697;0;0;125842;106874;118368;41543;122894;0;51995;91367;178692;57812;72084;57822;112917;95444;78073;47380;60970;200568;65956;61138;99591;0;0;0;113749;90859;109370;128310;80703;0;63621;138636;96150;90724;100087;109969;150025;100500;102521;37709;0;57171;40391;64940;40711;117436;0;0;96671;102779;110442;95432;136422;125475;55538;97510;109277;120659;0;142172;47994;56893;122251;49389;45867;127398;0;152908;57321;42051;108758
883.6s : 702.535m/z;0;63326;74718;60440;97465;48339;62974;39979;31637;41919;0;0;28432;48180;94337;0;102452;59921;43727;57690;87295;54776;69350;0;0;84751;100935;115780;0;66716;0;36884;53286;81433;42292;42474;43021;73627;97571;32215;36315;37690;122213;60148;37958;78553;0;0;36181;72596;56678;92252;85129;87441;0;40365;69569;63933;37919;59290;82483;98850;42863;63053;0;0;44685;34072;51943;34515;64238;0;0;58385;72883;64362;87484;114947;0;31575;60112;57691;78079;0;89134;35904;40482;100542;44385;31866;101797;0;106974;32641;0;75195
918.7s : 641.482m/z;0;76647;102269;94125;37454;0;73246;42972;61775;38691;0;0;31503;0;65205;0;186401;79003;48313;85525;139398;48161;105706;0;0;106217;41237;73819;34433;105000;0;43660;51193;139687;58624;71946;66577;85374;88973;0;0;41345;304232;0;45134;95515;0;0;0;102134;72757;121940;111732;60784;0;60148;126136;84399;51941;87616;94933;166399;79245;72027;33755;0;46063;0;63750;55116;107655;0;0;84427;86789;96872;82146;162026;33202;43391;93294;68483;105474;0;126090;35004;49626;81443;43958;43280;59795;0;103913;37933;0;110148
954.8s : 545.310m/z;257749;250416;0;297820;222134;250734;224024;209767;152477;142337;121830;149020;133555;203097;215438;184183;165132;207277;135470;187790;0;211178;173490;154227;197473;215389;179888;187044;221465;195884;180060;190777;143966;160640;245715;254363;204017;175321;166187;174015;160318;172937;128796;163954;189993;207676;0;121187;242744;139559;180872;161754;197635;195686;171313;128804;236990;146888;152889;213636;230243;163729;127443;229605;170022;190955;271545;187272;135738;183312;113403;169635;127029;0;232976;180435;198645;121230;105334;238093;119294;154628;180567;209743;154355;197779;149801;181003;218420;136160;105324;204570;198069;116557;0;188043
1014.3s : 421.261m/z;72617;81859;0;82612;91482;96440;49300;81244;49749;51799;35385;59128;35741;60706;52284;36939;35282;56883;42423;82972;0;81599;45732;48350;80417;87926;78734;81209;70321;74629;51804;62356;0;53932;85426;66930;68829;52869;56819;58637;48819;49319;0;51526;52919;49237;0;0;67021;0;56686;46202;41285;70154;59856;41494;57372;0;46084;74033;91014;41882;0;71723;53871;61425;88318;48562;35675;73794;35191;69864;40949;36522;75293;58900;67879;0;41385;120241;37816;48510;54706;53474;45367;73026;54583;66522;83348;0;0;47886;66044;0;0;72419
689.5s : 309.206m/z;92530;120415;0;126613;147269;109388;90650;112482;96801;97975;83883;90268;0;101821;93326;0;84114;100981;0;104985;0;100894;0;84047;118038;121291;120946;121621;116615;126249;84247;113458;92108;101983;132041;96876;96374;99445;95846;82159;73226;80699;0;88767;86515;0;0;0;115229;0;97775;85601;0;99423;95890;80724;90027;0;94772;94232;112107;85933;0;0;97046;93534;108081;88183;0;106870;72624;97243;77210;0;100899;102710;103381;0;86004;123134;81096;88414;96606;96102;0;104358;97748;108862;122555;0;0;93127;0;79954;58041;97611
183.8s : 316.212m/z;239809;149972;81119;108358;222319;131508;113805;127535;0;0;125781;162804;141772;161446;146763;160530;196024;102811;0;0;0;89235;147953;123336;103217;108022;159034;120665;188178;130926;204161;104661;122753;100176;142945;136580;244494;97315;140372;132962;189745;81239;108748;145263;106809;130283;0;0;162561;103401;0;128593;126545;154462;114684;137493;100506;119242;0;81487;187390;111859;0;133149;141141;106180;144925;140238;113511;156155;79037;94749;113515;106576;159971;82131;120318;0;138294;142307;0;95942;136707;212214;112541;128641;0;126241;142767;123820;91652;177930;127852;0;149434;104464
882.4s : 746.561m/z;0;49251;57325;48375;78063;40360;49839;32823;0;32175;0;0;0;38541;75692;0;77239;46188;29604;43239;61927;40159;50511;0;0;65463;82557;94077;0;53084;0;28556;39511;57736;32639;31745;33541;52419;76889;0;0;29393;94341;48805;0;60502;0;0;28053;52958;39987;72008;62023;72125;0;30497;52826;48065;0;43924;65338;76939;0;43823;0;0;33202;26782;41944;27532;47380;0;0;44092;54223;45607;71238;94639;0;0;46922;42499;58271;0;69710;25965;30470;80884;35235;26137;78355;0;78439;0;0;56889
675.5s : 325.201m/z;192679;173160;0;162571;158590;149372;109025;88039;0;101636;0;85986;78519;139720;110547;92842;95936;117597;72356;132045;0;113051;0;81791;145084;137623;121522;114795;139969;110668;101246;152940;0;95482;165442;153015;213002;89313;0;69827;82251;89694;0;95204;110159;116236;0;0;147658;0;97621;0;0;99022;97472;79339;126349;0;89612;100134;96057;93828;0;97918;0;107955;183804;101503;0;122639;72637;112376;0;0;123282;133894;93138;0;0;136071;75007;77072;93966;121004;72078;166883;95252;95602;132973;0;0;175031;140460;72569;0;113119
924.0s : 568.455m/z;290016;166527;0;206524;312339;167711;107452;190698;164872;105540;202856;0;183425;195134;163684;194225;338819;194262;0;0;70075;0;258133;80113;0;239950;235922;203837;283834;217697;226408;121662;151381;74547;219511;0;176906;205545;213442;232427;264634;0;0;171349;0;217664;83158;0;256055;243709;0;178563;264826;193324;181594;160110;284301;199714;200546;219547;242947;69345;236904;202758;199665;156578;187248;171999;156486;188003;0;92623;175341;215295;207465;0;201453;295954;0;196443;0;185897;237026;194971;262445;96132;0;173375;226256;154807;150811;162687;255340;0;182521;0
1057.7s : 725.539m/z;270454;376162;223082;271066;320540;612335;0;426954;361466;200835;158219;0;0;298892;217871;0;0;225728;187264;396744;175131;484322;235080;0;352248;463208;368268;370314;210905;276338;200219;253713;245620;232060;480233;306722;402093;253538;191752;143163;162267;190000;0;251256;218763;194034;0;0;252472;0;227399;181641;0;189361;306700;176099;282058;0;271820;458227;173455;0;291870;390496;318084;290337;578301;324761;141374;350219;0;227487;127476;0;423743;223511;465430;0;0;495861;0;215326;216564;221129;180915;244298;193775;301011;433593;0;0;0;212726;0;0;323897
919.9s : 597.456m/z;0;77091;108727;102081;40154;0;71865;41726;66744;44273;0;0;33487;0;67875;0;213674;86740;62486;98309;155823;52214;115439;0;40830;118876;43263;74755;38285;114102;0;49374;58375;167434;60726;79871;79633;90818;88708;53261;0;47095;345401;0;49508;103048;0;0;0;110920;80784;121682;122280;61643;0;67427;139613;89386;69374;96547;93988;182045;102425;84823;0;0;49748;0;64142;56361;118090;0;0;95471;94549;106703;83535;168701;49023;47725;101928;78398;116052;0;139146;0;50180;83882;44267;41857;65125;0;122335;42407;33858;114303
921.1s : 553.430m/z;0;69944;97864;94469;39875;0;64186;38973;70276;40151;0;0;0;0;64305;0;219183;86696;74417;101349;168266;53184;125392;0;42848;115989;38949;72774;37634;107208;0;48313;63139;177752;55350;87233;85092;90434;81073;63661;0;51529;353881;0;50473;99829;0;0;0;116896;83377;110454;120480;59900;0;76004;149016;88481;84170;99698;87968;175637;106485;90981;0;0;48082;0;57438;54084;126935;0;0;96325;92676;116597;83584;157777;67369;48609;99047;74789;117885;0;136487;0;52291;86221;40239;39922;61075;0;130454;44225;0;113570
902.2s : 614.483m/z;0;52654;65212;57323;73753;37747;51242;0;41390;37722;0;0;0;35251;74078;0;0;58704;49460;61101;0;45872;73619;0;0;79422;75307;93928;0;67865;0;32778;46580;0;37764;46591;37288;66924;87179;37097;0;0;0;38443;0;70021;0;0;0;73091;57327;0;83577;63609;0;41336;80846;62826;47157;65720;71233;112554;58890;58549;0;0;37612;0;46387;0;68352;0;0;60346;66901;68588;78399;113719;0;0;64587;57328;77585;0;0;0;37312;91422;36156;0;89883;0;106909;0;0;70625
